Entry,Entry name,Status,Protein names,Gene names,Length
Q14833,GRM4_HUMAN,reviewed,Metabotropic glutamate receptor 4 (mGluR4),GRM4 GPRC1D MGLUR4,912
Q9Y6K1,DNM3A_HUMAN,reviewed,DNA (cytosine-5)-methyltransferase 3A (Dnmt3a) (EC 2.1.1.37) (Cysteine methyltransferase DNMT3A) (EC 2.1.1.-) (DNA methyltransferase HsaIIIA) (DNA MTase HsaIIIA) (M.HsaIIIA),DNMT3A,912
Q92888,ARHG1_HUMAN,reviewed,Rho guanine nucleotide exchange factor 1 (115 kDa guanine nucleotide exchange factor) (p115-RhoGEF) (p115RhoGEF) (Sub1.5),ARHGEF1,912
Q9Y2U8,MAN1_HUMAN,reviewed,Inner nuclear membrane protein Man1 (LEM domain-containing protein 3),LEMD3 MAN1,911
P19827,ITIH1_HUMAN,reviewed,Inter-alpha-trypsin inhibitor heavy chain H1 (ITI heavy chain H1) (ITI-HC1) (Inter-alpha-inhibitor heavy chain 1) (Inter-alpha-trypsin inhibitor complex component III) (Serum-derived hyaluronan-associated protein) (SHAP),ITIH1 IGHEP1,911
P49917,DNLI4_HUMAN,reviewed,DNA ligase 4 (EC 6.5.1.1) (DNA ligase IV) (Polydeoxyribonucleotide synthase [ATP] 4),LIG4,911
P02730,B3AT_HUMAN,reviewed,Band 3 anion transport protein (Anion exchange protein 1) (AE 1) (Anion exchanger 1) (Solute carrier family 4 member 1) (CD antigen CD233),SLC4A1 AE1 DI EPB3,911
O43707,ACTN4_HUMAN,reviewed,Alpha-actinin-4 (Non-muscle alpha-actinin 4),ACTN4,911
Q7KZF4,SND1_HUMAN,reviewed,Staphylococcal nuclease domain-containing protein 1 (EC 3.1.31.1) (100 kDa coactivator) (EBNA2 coactivator p100) (Tudor domain-containing protein 11) (p100 co-activator),SND1 TDRD11,910
Q9HB75,PIDD1_HUMAN,reviewed,p53-induced death domain-containing protein 1 (EC 3.4.21.-) (Leucine-rich repeat and death domain-containing protein) [Cleaved into: PIDD-N; PIDD-C; PIDD-CC],PIDD1 LRDD PIDD,910
Q13002,GRIK2_HUMAN,reviewed,"Glutamate receptor ionotropic, kainate 2 (GluK2) (Excitatory amino acid receptor 4) (EAA4) (Glutamate receptor 6) (GluR-6) (GluR6)",GRIK2 GLUR6,908
Q9HCG8,CWC22_HUMAN,reviewed,Pre-mRNA-splicing factor CWC22 homolog (Nucampholin homolog) (fSAPb),CWC22 KIAA1604 NCM,908
Q17RS7,GEN_HUMAN,reviewed,Flap endonuclease GEN homolog 1 (EC 3.1.-.-),GEN1,908
O00222,GRM8_HUMAN,reviewed,Metabotropic glutamate receptor 8 (mGluR8),GRM8 GPRC1H MGLUR8,908
Q13200,PSMD2_HUMAN,reviewed,26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Protein 55.11) (Tumor necrosis factor type 1 receptor-associated protein 2),PSMD2 TRAP2,908
O75473,LGR5_HUMAN,reviewed,Leucine-rich repeat-containing G-protein coupled receptor 5 (G-protein coupled receptor 49) (G-protein coupled receptor 67) (G-protein coupled receptor HG38),LGR5 GPR49 GPR67,907
P78344,IF4G2_HUMAN,reviewed,Eukaryotic translation initiation factor 4 gamma 2 (eIF-4-gamma 2) (eIF-4G 2) (eIF4G 2) (Death-associated protein 5) (DAP-5) (p97),EIF4G2 DAP5 OK/SW-cl.75,907
Q96CW5,GCP3_HUMAN,reviewed,Gamma-tubulin complex component 3 (GCP-3) (hGCP3) (Gamma-ring complex protein 104 kDa) (h104p) (hGrip104) (Spindle pole body protein Spc98 homolog) (hSpc98),TUBGCP3 GCP3,907
Q92562,FIG4_HUMAN,reviewed,"Polyphosphoinositide phosphatase (EC 3.1.3.-) (EC 3.1.3.36) (EC 3.1.3.86) (Phosphatidylinositol 3,5-bisphosphate 5-phosphatase) (SAC domain-containing protein 3) (Serine-protein phosphatase FIG4) (EC 3.1.3.16)",FIG4 KIAA0274 SAC3,907
Q9P202,WHRN_HUMAN,reviewed,Whirlin (Autosomal recessive deafness type 31 protein),WHRN DFNB31 KIAA1526,907
P42261,GRIA1_HUMAN,reviewed,"Glutamate receptor 1 (GluR-1) (AMPA-selective glutamate receptor 1) (GluR-A) (GluR-K1) (Glutamate receptor ionotropic, AMPA 1) (GluA1)",GRIA1 GLUH1 GLUR1,906
P22681,CBL_HUMAN,reviewed,E3 ubiquitin-protein ligase CBL (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (RING finger protein 55) (RING-type E3 ubiquitin transferase CBL) (Signal transduction protein CBL),CBL CBL2 RNF55,906
P35221,CTNA1_HUMAN,reviewed,Catenin alpha-1 (Alpha E-catenin) (Cadherin-associated protein) (Renal carcinoma antigen NY-REN-13),CTNNA1,906
Q9P0K1,ADA22_HUMAN,reviewed,"Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22) (Metalloproteinase-disintegrin ADAM22-3) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2)",ADAM22 MDC2,906
Q8TCG1,CIP2A_HUMAN,reviewed,Protein CIP2A (Cancerous inhibitor of PP2A) (p90 autoantigen),CIP2A KIAA1524,905
Q8WXE9,STON2_HUMAN,reviewed,Stonin-2 (Stoned B),STON2 STN2 STNB,905
P49736,MCM2_HUMAN,reviewed,DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2 homolog) (Nuclear protein BM28),MCM2 BM28 CCNL1 CDCL1 KIAA0030,904
Q12959,DLG1_HUMAN,reviewed,Disks large homolog 1 (Synapse-associated protein 97) (SAP-97) (SAP97) (hDlg),DLG1,904
O15455,TLR3_HUMAN,reviewed,Toll-like receptor 3 (CD antigen CD283),TLR3,904
Q8IYB3,SRRM1_HUMAN,reviewed,Serine/arginine repetitive matrix protein 1 (SR-related nuclear matrix protein of 160 kDa) (SRm160) (Ser/Arg-related nuclear matrix protein),SRRM1 SRM160,904
Q96J02,ITCH_HUMAN,reviewed,E3 ubiquitin-protein ligase Itchy homolog (Itch) (EC 2.3.2.26) (Atrophin-1-interacting protein 4) (AIP4) (HECT-type E3 ubiquitin transferase Itchy homolog) (NFE2-associated polypeptide 1) (NAPP1),ITCH,903
Q8TDY4,ASAP3_HUMAN,reviewed,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3 (Development and differentiation-enhancing factor-like 1) (Protein up-regulated in liver cancer 1)",ASAP3 DDEFL1 UPLC1,903
Q8IYH5,ZZZ3_HUMAN,reviewed,ZZ-type zinc finger-containing protein 3,ZZZ3,903
Q14934,NFAC4_HUMAN,reviewed,"Nuclear factor of activated T-cells, cytoplasmic 4 (NF-ATc4) (NFATc4) (T-cell transcription factor NFAT3) (NF-AT3)",NFATC4 NFAT3,902
Q9BSJ2,GCP2_HUMAN,reviewed,Gamma-tubulin complex component 2 (GCP-2) (hGCP2) (Gamma-ring complex protein 103 kDa) (h103p) (hGrip103) (Spindle pole body protein Spc97 homolog) (hSpc97),TUBGCP2 GCP2,902
O75891,AL1L1_HUMAN,reviewed,Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1),ALDH1L1 FTHFD,902
Q7Z2W4,ZCCHV_HUMAN,reviewed,Zinc finger CCCH-type antiviral protein 1 (ADP-ribosyltransferase diphtheria toxin-like 13) (ARTD13) (Inactive Poly [ADP-ribose] polymerase 13) (PARP13) (Zinc finger CCCH domain-containing protein 2) (Zinc finger antiviral protein) (ZAP),ZC3HAV1 ZC3HDC2 PRO1677,902
Q9BVN2,RUSC1_HUMAN,reviewed,AP-4 complex accessory subunit RUSC1 (New molecule containing SH3 at the carboxy-terminus) (Nesca) (RUN and SH3 domain-containing protein 1),RUSC1 NESCA,902
Q01968,OCRL_HUMAN,reviewed,"Inositol polyphosphate 5-phosphatase OCRL (EC 3.1.3.36) (EC 3.1.3.56) (Inositol polyphosphate 5-phosphatase OCRL-1) (OCRL-1) (Lowe oculocerebrorenal syndrome protein) (Phosphatidylinositol 3,4,5-triphosphate 5-phosphatase) (EC 3.1.3.86)",OCRL OCRL1,901
Q02487,DSC2_HUMAN,reviewed,Desmocollin-2 (Cadherin family member 2) (Desmocollin-3) (Desmosomal glycoprotein II) (Desmosomal glycoprotein III),DSC2 CDHF2 DSC3,901
Q08043,ACTN3_HUMAN,reviewed,Alpha-actinin-3 (Alpha-actinin skeletal muscle isoform 3) (F-actin cross-linking protein),ACTN3,901
P56192,SYMC_HUMAN,reviewed,"Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)",MARS1 MARS,900
Q00653,NFKB2_HUMAN,reviewed,Nuclear factor NF-kappa-B p100 subunit (DNA-binding factor KBF2) (H2TF1) (Lymphocyte translocation chromosome 10 protein) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2) (Oncogene Lyt-10) (Lyt10) [Cleaved into: Nuclear factor NF-kappa-B p52 subunit],NFKB2 LYT10,900
Q7Z5Q5,DPOLN_HUMAN,reviewed,DNA polymerase nu (EC 2.7.7.7),POLN,900
Q92973,TNPO1_HUMAN,reviewed,Transportin-1 (Importin beta-2) (Karyopherin beta-2) (M9 region interaction protein) (MIP),TNPO1 KPNB2 MIP1 TRN,898
Q9H2K8,TAOK3_HUMAN,reviewed,Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Cutaneous T-cell lymphoma-associated antigen HD-CL-09) (CTCL-associated antigen HD-CL-09) (Dendritic cell-derived protein kinase) (JNK/SAPK-inhibitory kinase) (Jun kinase-inhibitory kinase) (Kinase from chicken homolog A) (hKFC-A) (Thousand and one amino acid protein 3),TAOK3 DPK JIK KDS MAP3K18,898
Q8NI77,KI18A_HUMAN,reviewed,Kinesin-like protein KIF18A (Marrow stromal KIF18A) (MS-KIF18A),KIF18A OK/SW-cl.108,898
Q6V1X1,DPP8_HUMAN,reviewed,Dipeptidyl peptidase 8 (DP8) (EC 3.4.14.5) (Dipeptidyl peptidase IV-related protein 1) (DPRP-1) (Dipeptidyl peptidase VIII) (DPP VIII) (Prolyl dipeptidase DPP8),DPP8 DPRP1 MSTP097 MSTP135 MSTP141,898
P32927,IL3RB_HUMAN,reviewed,Cytokine receptor common subunit beta (CDw131) (GM-CSF/IL-3/IL-5 receptor common beta subunit) (CD antigen CD131),CSF2RB IL3RB IL5RB,897
Q86WJ1,CHD1L_HUMAN,reviewed,Chromodomain-helicase-DNA-binding protein 1-like (EC 3.6.4.12) (Amplified in liver cancer protein 1),CHD1L ALC1,897
Q99708,CTIP_HUMAN,reviewed,DNA endonuclease RBBP8 (EC 3.1.-.-) (CtBP-interacting protein) (CtIP) (Retinoblastoma-binding protein 8) (RBBP-8) (Retinoblastoma-interacting protein and myosin-like) (RIM) (Sporulation in the absence of SPO11 protein 2 homolog) (SAE2),RBBP8 CTIP,897
O75113,N4BP1_HUMAN,reviewed,NEDD4-binding protein 1 (N4BP1) (EC 3.1.-.-),N4BP1 KIAA0615,896
P42566,EPS15_HUMAN,reviewed,Epidermal growth factor receptor substrate 15 (Protein Eps15) (Protein AF-1p),EPS15 AF1P,896
Q14118,DAG1_HUMAN,reviewed,Dystroglycan 1 (Dystroglycan) (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)],DAG1,895
Q13435,SF3B2_HUMAN,reviewed,Splicing factor 3B subunit 2 (Pre-mRNA-splicing factor SF3b 145 kDa subunit) (SF3b145) (Spliceosome-associated protein 145) (SAP 145),SF3B2 SAP145,895
Q9NQV7,PRDM9_HUMAN,reviewed,Histone-lysine N-methyltransferase PRDM9 (PR domain zinc finger protein 9) (PR domain-containing protein 9) (Protein-lysine N-methyltransferase PRDM9) (EC 2.1.1.-) ([histone H3]-lysine36 N-trimethyltransferase PRDM9) (EC 2.1.1.359) ([histone H3]-lysine4 N-trimethyltransferase PRDM9) (EC 2.1.1.354) ([histone H3]-lysine9 N-trimethyltransferase PRDM9) (EC 2.1.1.355) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase PRDM9) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase PRDM9) (EC 2.1.1.361),PRDM9 PFM6,894
Q8IVH8,M4K3_HUMAN,reviewed,Mitogen-activated protein kinase kinase kinase kinase 3 (EC 2.7.11.1) (Germinal center kinase-related protein kinase) (GLK) (MAPK/ERK kinase kinase kinase 3) (MEK kinase kinase 3) (MEKKK 3),MAP4K3 RAB8IPL1,894
Q2TBE0,C19L2_HUMAN,reviewed,CWF19-like protein 2,CWF19L2,894
Q12906,ILF3_HUMAN,reviewed,Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76) (DRBP76) (M-phase phosphoprotein 4) (MPP4) (Nuclear factor associated with dsRNA) (NFAR) (Nuclear factor of activated T-cells 90 kDa) (NF-AT-90) (Translational control protein 80) (TCP80),ILF3 DRBF MPHOSPH4 NF90,894
P35609,ACTN2_HUMAN,reviewed,Alpha-actinin-2 (Alpha-actinin skeletal muscle isoform 2) (F-actin cross-linking protein),ACTN2,894
Q08554,DSC1_HUMAN,reviewed,Desmocollin-1 (Cadherin family member 1) (Desmosomal glycoprotein 2/3) (DG2/DG3),DSC1 CDHF1,894
P30530,UFO_HUMAN,reviewed,Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (AXL oncogene),AXL UFO,894
Q5VUG0,SMBT2_HUMAN,reviewed,Scm-like with four MBT domains protein 2 (Scm-like with 4 MBT domains protein 2),SFMBT2 KIAA1617,894
Q14764,MVP_HUMAN,reviewed,Major vault protein (MVP) (Lung resistance-related protein),MVP LRP,893
P12814,ACTN1_HUMAN,reviewed,Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1),ACTN1,892
P59044,NLRP6_HUMAN,reviewed,"NACHT, LRR and PYD domains-containing protein 6 (Angiotensin II/vasopressin receptor) (PYRIN-containing APAF1-like protein 5)",NLRP6 NALP6 PYPAF5,892
O15265,ATX7_HUMAN,reviewed,Ataxin-7 (Spinocerebellar ataxia type 7 protein),ATXN7 SCA7,892
Q96KM6,Z512B_HUMAN,reviewed,Zinc finger protein 512B,ZNF512B KIAA1196,892
Q08AF3,SLFN5_HUMAN,reviewed,Schlafen family member 5,SLFN5,891
O94806,KPCD3_HUMAN,reviewed,Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (Protein kinase EPK2) (nPKC-nu),PRKD3 EPK2 PRKCN,890
O95235,KI20A_HUMAN,reviewed,Kinesin-like protein KIF20A (GG10_2) (Mitotic kinesin-like protein 2) (MKlp2) (Rab6-interacting kinesin-like protein) (Rabkinesin-6),KIF20A MKLP2 RAB6KIFL,890
O60741,HCN1_HUMAN,reviewed,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1 (Brain cyclic nucleotide-gated channel 1) (BCNG-1),HCN1 BCNG1,890
Q06418,TYRO3_HUMAN,reviewed,Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Tyrosine-protein kinase BYK) (Tyrosine-protein kinase DTK) (Tyrosine-protein kinase RSE) (Tyrosine-protein kinase SKY) (Tyrosine-protein kinase TIF),TYRO3 BYK DTK RSE SKY TIF,890
P21399,ACOHC_HUMAN,reviewed,Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Ferritin repressor protein) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1),ACO1 IREB1,889
Q9UL51,HCN2_HUMAN,reviewed,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2 (Brain cyclic nucleotide-gated channel 2) (BCNG-2),HCN2 BCNG2,889
Q9BZF1,OSBL8_HUMAN,reviewed,Oxysterol-binding protein-related protein 8 (ORP-8) (OSBP-related protein 8),OSBPL8 KIAA1451 ORP8 OSBP10,889
Q6ZUM4,RHG27_HUMAN,reviewed,Rho GTPase-activating protein 27 (CIN85-associated multi-domain-containing Rho GTPase-activating protein 1) (Rho-type GTPase-activating protein 27) (SH3 domain-containing protein 20),ARHGAP27 CAMGAP1 SH3D20 PP905,889
P04035,HMDH_HUMAN,reviewed,3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34),HMGCR,888
Q9UL03,INT6_HUMAN,reviewed,Integrator complex subunit 6 (Int6) (DBI-1) (Protein DDX26) (Protein deleted in cancer 1) (DICE1),INTS6 DBI1 DDX26 DDX26A,887
Q9H4L5,OSBL3_HUMAN,reviewed,Oxysterol-binding protein-related protein 3 (ORP-3) (OSBP-related protein 3),OSBPL3 KIAA0704 ORP3 OSBP3,887
Q8NEB9,PK3C3_HUMAN,reviewed,Phosphatidylinositol 3-kinase catalytic subunit type 3 (PI3-kinase type 3) (PI3K type 3) (PtdIns-3-kinase type 3) (EC 2.7.1.137) (Phosphatidylinositol 3-kinase p100 subunit) (Phosphoinositide-3-kinase class 3) (hVps34),PIK3C3 VPS34,887
Q3SYG4,PTHB1_HUMAN,reviewed,Protein PTHB1 (Bardet-Biedl syndrome 9 protein) (Parathyroid hormone-responsive B1 gene protein),BBS9 PTHB1,887
Q6ZT98,TTLL7_HUMAN,reviewed,Tubulin polyglutamylase TTLL7 (EC 6.3.2.-) (Testis development protein NYD-SP30) (Tubulin--tyrosine ligase-like protein 7),TTLL7,887
P27815,PDE4A_HUMAN,reviewed,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A (EC 3.1.4.53) (DPDE2) (PDE46)",PDE4A DPDE2,886
Q96JC1,VPS39_HUMAN,reviewed,Vam6/Vps39-like protein (TRAP1-like protein) (hVam6p),VPS39 KIAA0770 TLP VAM6,886
Q4FZB7,KMT5B_HUMAN,reviewed,Histone-lysine N-methyltransferase KMT5B (Lysine N-methyltransferase 5B) (Lysine-specific methyltransferase 5B) (Suppressor of variegation 4-20 homolog 1) (Su(var)4-20 homolog 1) (Suv4-20h1) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.361),KMT5B SUV420H1 CGI-85,885
Q01780,EXOSX_HUMAN,reviewed,Exosome component 10 (EC 3.1.13.-) (Autoantigen PM/Scl 2) (P100 polymyositis-scleroderma overlap syndrome-associated autoantigen) (Polymyositis/scleroderma autoantigen 100 kDa) (PM/Scl-100) (Polymyositis/scleroderma autoantigen 2),EXOSC10 PMSCL PMSCL2 RRP6,885
Q6ZTQ4,CDHR3_HUMAN,reviewed,Cadherin-related family member 3 (Cadherin-like protein 28),CDHR3 CDH28,885
P42262,GRIA2_HUMAN,reviewed,"Glutamate receptor 2 (GluR-2) (AMPA-selective glutamate receptor 2) (GluR-B) (GluR-K2) (Glutamate receptor ionotropic, AMPA 2) (GluA2)",GRIA2 GLUR2,883
P29590,PML_HUMAN,reviewed,Protein PML (E3 SUMO-protein ligase PML) (EC 2.3.2.-) (Promyelocytic leukemia protein) (RING finger protein 71) (RING-type E3 SUMO transferase PML) (Tripartite motif-containing protein 19) (TRIM19),PML MYL PP8675 RNF71 TRIM19,882
P12830,CADH1_HUMAN,reviewed,Cadherin-1 (CAM 120/80) (Epithelial cadherin) (E-cadherin) (Uvomorulin) (CD antigen CD324) [Cleaved into: E-Cad/CTF1; E-Cad/CTF2; E-Cad/CTF3],CDH1 CDHE UVO,882
P52848,NDST1_HUMAN,reviewed,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1 (EC 2.8.2.8) (Glucosaminyl N-deacetylase/N-sulfotransferase 1) (NDST-1) (N-heparan sulfate sulfotransferase 1) (N-HSST 1) ([Heparan sulfate]-glucosamine N-sulfotransferase 1) (HSNST 1) [Includes: Heparan sulfate N-deacetylase 1 (EC 3.-.-.-); Heparan sulfate N-sulfotransferase 1 (EC 2.8.2.-)],NDST1 HSST HSST1,882
Q99959,PKP2_HUMAN,reviewed,Plakophilin-2,PKP2,881
Q0VG06,FP100_HUMAN,reviewed,Fanconi anemia core complex-associated protein 100 (Fanconi anemia-associated protein of 100 kDa),FAAP100 C17orf70,881
P23497,SP100_HUMAN,reviewed,Nuclear autoantigen Sp-100 (Nuclear dot-associated Sp100 protein) (Speckled 100 kDa),SP100,879
Q96GX5,GWL_HUMAN,reviewed,Serine/threonine-protein kinase greatwall (GW) (GWL) (hGWL) (EC 2.7.11.1) (Microtubule-associated serine/threonine-protein kinase-like) (MAST-L),MASTL GW GWL THC2,879
Q01433,AMPD2_HUMAN,reviewed,AMP deaminase 2 (EC 3.5.4.6) (AMP deaminase isoform L),AMPD2,879
Q14832,GRM3_HUMAN,reviewed,Metabotropic glutamate receptor 3 (mGluR3),GRM3 GPRC1C MGLUR3,879
Q9BZL6,KPCD2_HUMAN,reviewed,Serine/threonine-protein kinase D2 (EC 2.7.11.13) (nPKC-D2),PRKD2 PKD2 HSPC187,878
Q6DN12,MCTP2_HUMAN,reviewed,Multiple C2 and transmembrane domain-containing protein 2,MCTP2,878
P52735,VAV2_HUMAN,reviewed,Guanine nucleotide exchange factor VAV2 (VAV-2),VAV2,878
Q9Y2X0,MED16_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 16 (Mediator complex subunit 16) (Thyroid hormone receptor-associated protein 5) (Thyroid hormone receptor-associated protein complex 95 kDa component) (Trap95) (Vitamin D3 receptor-interacting protein complex 92 kDa component) (DRIP92),MED16 DRIP92 THRAP5,877
Q8ND30,LIPB2_HUMAN,reviewed,Liprin-beta-2 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein-binding protein 2) (PTPRF-interacting protein-binding protein 2),PPFIBP2,876
Q14974,IMB1_HUMAN,reviewed,Importin subunit beta-1 (Importin-90) (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97),KPNB1 NTF97,876
Q9H706,GARE1_HUMAN,reviewed,GRB2-associated and regulator of MAPK protein 1 (GRB2-associated and regulator of MAPK1),GAREM1 C18orf11 FAM59A GAREM,876
Q9BXP5,SRRT_HUMAN,reviewed,Serrate RNA effector molecule homolog (Arsenite-resistance protein 2),SRRT ARS2 ASR2,876
O76074,PDE5A_HUMAN,reviewed,"cGMP-specific 3',5'-cyclic phosphodiesterase (EC 3.1.4.35) (cGMP-binding cGMP-specific phosphodiesterase) (CGB-PDE)",PDE5A PDE5,875
O14638,ENPP3_HUMAN,reviewed,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (NPP3) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c) [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)],ENPP3 PDNP3,875
Q96P47,AGAP3_HUMAN,reviewed,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 (AGAP-3) (CRAM-associated GTPase) (CRAG) (Centaurin-gamma-3) (Cnt-g3) (MR1-interacting protein) (MRIP-1)",AGAP3 CENTG3,875
Q9H8M5,CNNM2_HUMAN,reviewed,Metal transporter CNNM2 (Ancient conserved domain-containing protein 2) (Cyclin-M2),CNNM2 ACDP2,875
Q13206,DDX10_HUMAN,reviewed,Probable ATP-dependent RNA helicase DDX10 (EC 3.6.4.13) (DEAD box protein 10),DDX10,875
Q05086,UBE3A_HUMAN,reviewed,Ubiquitin-protein ligase E3A (EC 2.3.2.26) (E6AP ubiquitin-protein ligase) (HECT-type ubiquitin transferase E3A) (Human papillomavirus E6-associated protein) (Oncogenic protein-associated protein E6-AP) (Renal carcinoma antigen NY-REN-54),UBE3A E6AP EPVE6AP HPVE6A,875
Q9H6E5,STPAP_HUMAN,reviewed,Speckle targeted PIP5K1A-regulated poly(A) polymerase (Star-PAP) (EC 2.7.7.19) (RNA-binding motif protein 21) (RNA-binding protein 21) (U6 snRNA-specific terminal uridylyltransferase 1) (U6-TUTase) (EC 2.7.7.52),TUT1 RBM21,874
Q9Y678,COPG1_HUMAN,reviewed,Coatomer subunit gamma-1 (Gamma-1-coat protein) (Gamma-1-COP),COPG1 COPG,874
Q9UKY1,ZHX1_HUMAN,reviewed,Zinc fingers and homeoboxes protein 1,ZHX1,873
P98155,VLDLR_HUMAN,reviewed,Very low-density lipoprotein receptor (VLDL receptor) (VLDL-R),VLDLR,873
O43526,KCNQ2_HUMAN,reviewed,Potassium voltage-gated channel subfamily KQT member 2 (KQT-like 2) (Neuroblastoma-specific potassium channel subunit alpha KvLQT2) (Voltage-gated potassium channel subunit Kv7.2),KCNQ2,872
Q14416,GRM2_HUMAN,reviewed,Metabotropic glutamate receptor 2 (mGluR2),GRM2 GPRC1B MGLUR2,872
O43525,KCNQ3_HUMAN,reviewed,Potassium voltage-gated channel subfamily KQT member 3 (KQT-like 3) (Potassium channel subunit alpha KvLQT3) (Voltage-gated potassium channel subunit Kv7.3),KCNQ3,872
Q68DC2,ANKS6_HUMAN,reviewed,Ankyrin repeat and SAM domain-containing protein 6 (Ankyrin repeat domain-containing protein 14) (SamCystin) (Sterile alpha motif domain-containing protein 6) (SAM domain-containing protein 6),ANKS6 ANKRD14 PKDR1 SAMD6,871
Q96DR7,ARHGQ_HUMAN,reviewed,Rho guanine nucleotide exchange factor 26 (SH3 domain-containing guanine exchange factor),ARHGEF26 SGEF HMFN1864,871
Q8WTR7,ZN473_HUMAN,reviewed,Zinc finger protein 473 (Zinc finger protein 100 homolog) (Zfp-100),ZNF473 KIAA1141 ZFP100,871
Q9HBA0,TRPV4_HUMAN,reviewed,Transient receptor potential cation channel subfamily V member 4 (TrpV4) (Osm-9-like TRP channel 4) (OTRPC4) (Transient receptor potential protein 12) (TRP12) (Vanilloid receptor-like channel 2) (Vanilloid receptor-like protein 2) (VRL-2) (Vanilloid receptor-related osmotically-activated channel) (VR-OAC),TRPV4 VRL2 VROAC,871
Q9UBT6,POLK_HUMAN,reviewed,DNA polymerase kappa (EC 2.7.7.7) (DINB protein) (DINP),POLK DINB1,870
P56945,BCAR1_HUMAN,reviewed,Breast cancer anti-estrogen resistance protein 1 (CRK-associated substrate) (Cas scaffolding protein family member 1) (p130cas),BCAR1 CAS CASS1 CRKAS,870
P50570,DYN2_HUMAN,reviewed,Dynamin-2 (EC 3.6.5.5),DNM2 DYN2,870
Q99814,EPAS1_HUMAN,reviewed,Endothelial PAS domain-containing protein 1 (EPAS-1) (Basic-helix-loop-helix-PAS protein MOP2) (Class E basic helix-loop-helix protein 73) (bHLHe73) (HIF-1-alpha-like factor) (HLF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha) (Member of PAS protein 2) (PAS domain-containing protein 2),EPAS1 BHLHE73 HIF2A MOP2 PASD2,870
Q15700,DLG2_HUMAN,reviewed,Disks large homolog 2 (Channel-associated protein of synapse-110) (Chapsyn-110) (Postsynaptic density protein PSD-93),DLG2,870
O00308,WWP2_HUMAN,reviewed,NEDD4-like E3 ubiquitin-protein ligase WWP2 (EC 2.3.2.26) (Atrophin-1-interacting protein 2) (AIP2) (HECT-type E3 ubiquitin transferase WWP2) (WW domain-containing protein 2),WWP2,870
Q9UQ16,DYN3_HUMAN,reviewed,"Dynamin-3 (EC 3.6.5.5) (Dynamin, testicular) (T-dynamin)",DNM3 KIAA0820,869
Q8WUM4,PDC6I_HUMAN,reviewed,Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95),PDCD6IP AIP1 ALIX KIAA1375,868
